,duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0,0:01:06,100,0.8700329530239105,-121.80672710369377,1000.0,1.2756338551047404
1,0:01:55,200,0.8118200784921646,-109.19730906133486,1000.0,1.3771983842194169
2,0:02:41,300,0.7109269291162491,-82.26911104421941,1000.0,1.594095765393359
3,0:03:26,400,0.5884400677680969,-4.079822484864903,1000.0,2.2238836150518684
4,0:04:13,500,0.4842221122980118,-15.613033185554528,1000.0,2.130987566236537
5,0:04:59,600,0.400865326821804,-6.327428477096876,1000.0,2.205779921172459
6,0:05:45,700,0.3345118749141693,99.66437970689944,1000.0,3.059507512093607
7,0:06:31,800,0.2857773834466934,218.6401961137984,1000.0,4.017816827306092
8,0:07:16,900,0.26098459869623186,115.26421627499157,1000.0,3.185158834778106
9,0:08:02,1000,0.2428016723692417,159.73046508778057,1000.0,3.5433191881739323
10,0:08:48,1100,0.23208357617259026,108.38575867088213,1000.0,3.129755222553513
11,0:09:34,1200,0.22262664556503292,-24.06234111174161,1000.0,2.0629312944890774
12,0:10:20,1300,0.20967158779501915,537.228384845339,1000.0,6.583935204959898
13,0:11:06,1400,0.20462087512016294,512.1442710633586,1000.0,6.381891288581882
14,0:11:51,1500,0.19489261478185652,696.3804419117578,1000.0,7.865850332151532
15,0:12:37,1600,0.18769512981176376,701.6367819346145,1000.0,7.908188344698559
16,0:13:23,1700,0.181135138720274,614.8812061338224,1000.0,7.209401995108094
17,0:14:14,1800,0.17287482768297194,293.3487575784689,1000.0,4.619568616366032
18,0:15:00,1900,0.16703419044613838,208.815975106858,1000.0,3.938686103180957
19,0:15:46,2000,0.16230630606412888,437.099069511589,1000.0,5.777427979306459
20,0:16:32,2100,0.1581895300745964,406.94623828902496,1000.0,5.534557285805279
21,0:17:18,2200,0.1523415331542492,517.6283165840375,1000.0,6.426063390663053
22,0:18:04,2300,0.1482094943523407,643.6343841144256,1000.0,7.440998962735013
23,0:18:50,2400,0.14304509356617928,802.0734478965138,1000.0,8.71717117404094
24,0:19:35,2500,0.1396954370290041,299.6217051605537,1000.0,4.670095053446254
25,0:20:20,2600,0.13703133530914782,435.9919061549858,1000.0,5.768510158944832
26,0:21:11,2700,0.13186223536729813,460.341761482739,1000.0,5.964639875801384
27,0:22:00,2800,0.128665576800704,285.47366546149874,1000.0,4.5561374556330065
28,0:22:45,2900,0.12623580418527125,838.6609899947704,1000.0,9.011871252362528
29,0:23:31,3000,0.12277084104716778,755.9451416156412,1000.0,8.345623518904432
30,0:24:17,3100,0.1185512564331293,499.36311531152563,1000.0,6.278943471234921
31,0:25:02,3200,0.11923709459602833,748.8108618771047,1000.0,8.288159347300102
32,0:25:48,3300,0.1149604281783104,328.9523677163666,1000.0,4.90634346087437
33,0:26:34,3400,0.1117021717876196,685.4925558679765,1000.0,7.778152151682291
34,0:27:20,3500,0.1100981656461954,435.1015024832968,1000.0,5.761338263355894
35,0:28:05,3600,0.10786762557923794,1185.2172587071007,1000.0,11.803262903053064
36,0:28:50,3700,0.10584268748760224,1382.1392377020334,1000.0,13.389401771775114
37,0:29:35,3800,0.1032477230578661,1309.2801508001626,1000.0,12.802546864748061
38,0:30:20,3900,0.10154466181993484,766.3927777381748,1000.0,8.429775637549561
39,0:31:05,4000,0.09906728699803352,953.9242684878557,1000.0,9.94027735048996
40,0:31:50,4100,0.0981192423403263,1478.772863072714,1000.0,14.167752416067117
41,0:32:37,4200,0.09676806017756462,1245.8103917034755,1000.0,12.291319766556695
42,0:33:24,4300,0.09422173857688904,2153.9294708737257,1000.0,19.60590687487069
43,0:34:09,4400,0.09204089924693107,1693.5069260502155,1000.0,15.897361500160208
44,0:34:54,4500,0.08984700180590152,2090.788263965116,1000.0,19.097326151647586
45,0:35:40,4600,0.08803952217102051,1762.2843602944085,1000.0,16.451340097686373
46,0:36:25,4700,0.0874203984439373,1522.795357693832,1000.0,14.52233848194481
47,0:37:10,4800,0.08497955657541753,3675.890344714028,1000.0,31.864778693005338
48,0:37:54,4900,0.08407509446144104,2270.22307076508,1000.0,20.54261185779204
49,0:38:39,5000,0.08185447856783867,3398.76647083986,1000.0,29.63264112234871
50,0:39:24,5100,0.0808236364275217,3075.74163317703,1000.0,27.030787062204254
51,0:40:09,5200,0.0806402637064457,2808.421261264034,1000.0,24.87761333087918
52,0:40:54,5300,0.07776038005948066,2981.782915606262,1000.0,26.27398188101061
53,0:41:39,5400,0.0765034330636263,2822.6197145636793,1000.0,24.991976992920584
54,0:42:24,5500,0.07644095495343209,3728.112803256548,1000.0,32.28541265035882
55,0:43:09,5600,0.07483840860426426,3535.413232080341,1000.0,30.733283825589503
56,0:43:54,5700,0.07348211094737052,3952.560642982157,1000.0,34.093262868026216
57,0:44:39,5800,0.07182960987091064,3426.0782472031783,1000.0,29.85262809528492
58,0:45:24,5900,0.07146185677498579,4045.8797328691107,1000.0,34.8449160680343
59,0:46:08,6000,0.07072196155786514,4289.77344783861,1000.0,36.809396128231626
60,0:46:53,6100,0.06940111685544252,4363.7702985637,1000.0,37.40541533186308
61,0:47:38,6200,0.06800241976976394,4660.839823302788,1000.0,39.798208265929524
62,0:48:22,6300,0.06815596289932728,3840.978770130919,1000.0,33.19450922723175
63,0:49:07,6400,0.06644017066806555,3873.004201558808,1000.0,33.452463071869246
64,0:49:51,6500,0.06605536881834269,3973.8535921149683,1000.0,34.26477025598591
65,0:50:36,6600,0.06511681411415339,4650.667788618051,1000.0,39.716276022155625
66,0:51:20,6700,0.06448001816868781,4306.370799560644,1000.0,36.94308209268583
