duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:00:32,100,0.8343127316236496,-283.66523900445765,1000.0,-0.028080835706482045
0:01:01,200,0.7824837225675583,-244.96124936879588,1000.0,0.2836665002133868
0:01:29,300,0.6899479562044144,-223.5892289632806,1000.0,0.45581078010192566
0:01:56,400,0.580738832950592,-216.8118383607401,1000.0,0.5104003323604761
0:02:24,500,0.48492678731679917,-201.96499517297917,1000.0,0.6299865521319868
0:02:52,600,0.40410026252269743,-147.01866796690823,1000.0,1.0725603355150586
0:03:20,700,0.33457408487796786,-14.120819439167178,1000.0,2.1430068351656146
0:03:48,800,0.2859437969326973,182.63243303823924,1000.0,3.727786669771728
0:04:16,900,0.25969662472605703,475.19923757789303,1000.0,6.084311739987958
0:04:44,1000,0.24299988597631456,629.2006983996813,1000.0,7.3247405844274125
0:05:11,1100,0.23253118202090264,569.6996996773275,1000.0,6.845480487189942
0:05:39,1200,0.22182855844497681,452.462340135923,1000.0,5.901173844609688
0:06:07,1300,0.2125807870924473,348.32490145729537,1000.0,5.062382562801673
0:06:34,1400,0.20150695189833642,689.205723017006,1000.0,7.808060437040773
0:07:02,1500,0.1956814283132553,335.86558326199963,1000.0,4.962027036373397
0:07:30,1600,0.1875275845825672,-116.17907595078893,1000.0,1.3209626512035266
0:07:57,1700,0.17884221836924552,329.50735444612803,1000.0,4.9108136882618485
0:08:25,1800,0.17367472559213637,-32.244035667528976,1000.0,1.9970305564750646
0:08:53,1900,0.16676318034529686,191.20217088657574,1000.0,3.7968129631564542
0:09:21,2000,0.16205843642354012,84.21929158046684,1000.0,2.935102634927495
0:09:48,2100,0.15619607627391816,-9.672275962283926,1000.0,2.178838324133466
0:10:16,2200,0.15302484899759292,194.5000749255822,1000.0,3.82337644686854
0:10:44,2300,0.14815503224730492,102.74687889403435,1000.0,3.084335983747574
0:11:12,2400,0.1451341937482357,306.2623822153468,1000.0,4.7235834250592035
0:11:40,2500,0.14208106234669685,159.5822044553617,1000.0,3.542124999729447
0:12:08,2600,0.1364733275771141,365.5016671358411,1000.0,5.200735507560437
0:12:35,2700,0.1341610546410084,614.7893804357589,1000.0,7.208662370666022
0:13:03,2800,0.13020548678934574,613.4986256114802,1000.0,7.19826578412333
0:13:31,2900,0.1287697058916092,370.6574310148586,1000.0,5.242263413831749
0:13:59,3000,0.124820379242301,433.16134599095886,1000.0,5.745710969543355
0:14:26,3100,0.12218771293759347,450.6340751042693,1000.0,5.886447798061548
0:14:54,3200,0.11939074948430062,796.4805059344549,1000.0,8.672121948546632
0:15:22,3300,0.11600389406085014,1193.0977795900485,1000.0,11.866737790630449
0:15:50,3400,0.11494396232068539,1015.5936039971981,1000.0,10.437002655399406
0:16:18,3500,0.11073567926883697,724.1555029793099,1000.0,8.089568904172925
0:16:45,3600,0.10951775871217251,747.674484073056,1000.0,8.279006214603822
0:17:12,3700,0.10818672023713588,881.2691385694367,1000.0,9.355065246874952
0:17:40,3800,0.10504961468279361,955.5763756845479,1000.0,9.953584506213986
0:18:07,3900,0.10323845706880093,1019.9283368328057,1000.0,10.471917438762718
0:18:35,4000,0.10089175820350647,935.8708019209286,1000.0,9.79486288135285
0:19:03,4100,0.09826306015253067,1827.6024771316224,1000.0,16.97745508229101
0:19:30,4200,0.09640958987176418,1447.657659425143,1000.0,13.917130143401025
0:19:58,4300,0.0958897591382265,2006.4970445691422,1000.0,18.418389346023805
0:20:25,4400,0.09307771861553192,1127.0226716684895,1000.0,11.334525502980796
0:20:53,4500,0.09156623221933842,2080.573035939388,1000.0,19.01504600035537
